,location,name,span,verb
22394,84010,Ron,"streaked under the bed, hissing indignantly; Ron jumped off the bed, skidded",jumped
22395,84012,Harry,Harry instinctively dived for his wand before realizing that he was,dived
22396,84020,Hermione,"Oh yes,” said Hermione, looking terrified as she leapt on her feet, sending",said
22397,84028,Harry,"""Yeah,” said Harry, “",said
22398,84030,Ron,"Ron started to laugh, but at the sight of the enormous pile of wedding",started
22399,84032,Delacours,The Delacours arrived the following morning at eleven o’clock.,arrived
22400,84034,Hermione,"Hermione, and Ginny were feeling quite resentful toward Fleur’s family by",feeling
22401,84035,Ron,that Ron stumped back upstairs to put on,stumped
22402,84036,Harry,Harry attempted to flatten his hair.,attempted
22403,84040,Harry,Harry had never seen the place looking so tidy.,seen
22404,84051,Harry,"although Harry, who liked it in its overgrown state, thought that it looked",thought
22405,84072,Fleur,“Fleur tells us you,tells
22406,84076,Ron,Ron relieved his feelings by aiming a kick at a gnome who was peering out,relieved
22407,84078,Delacour,"” said Monsieur Delacour, still holding Mrs. Weasley’s hand",said
22408,84092,Gabrielle,"Gabrielle was Fleur in miniature; eleven years old, with waist—",was
22409,84097,Weasley,"” said Mrs. Weasley brightly, and she ushered the Dela-",said
22410,84100,Delacours,"The Delacours, as it soon transpired, were helpful, pleasant guests.",were
22411,84114,Charlie,once Charlie arrived from Romania,arrived
22412,84116,Ron,"that Harry, Ron, and Hermione took to volunteering to feed the",took
22413,84119,Weasley,Mrs. Weasley carrying a,carrying
22414,84135,Harry,” said Harry humbly.,said
22415,84136,Weasley,” said Mrs. Weasley at once.,said
22416,84143,Harry,"“I don’t want a fuss,” said Harry quickly, envisaging the addition strain this",said
22417,84151,Harry,",” said Harry.",said
22418,84155,Harry,"Harry watched as she waved her wand near the washing line, and the damp",watched
22419,84169,Harry,Harry opened his eyes.,opened
22420,84180,Harry,Harry was not wearing his glasses,wearing
22421,84184,Harry,"Harry rubbed his forehead, thinking.",rubbed
22422,84191,Voldemort,Voldemort’s looking for him,looking
22423,84192,Ron,"“Poor bloke,” said Ron fervently.",said
22424,84193,Harry,"Harry sat up, still rubbing his scar, now wide awake.",sat
22425,84204,Ron,Ron sounded worried.,sounded
22426,84205,Harry,"Do me a favor and don’t tell Hermione,” said Harry.",said
22427,84213,Ron,” said Ron.,said
22428,84216,Gorgovitch,"“Dragomir Gorgovitch, Chaser, transferred to the Chudley Cannons for a",transferred
22429,84219,Harry,"No,” said Harry, “",said
22430,84220,Ron,"“I try not to either,” said Ron.",said
22431,84224,Harry,Harry seized the wand lying beside his camp bed,seized
22432,84229,Harry,"Reveling in the removal of his Trace, Harry sent Ron’s possessions flying",sent
22433,84233,Harry,Harry also tried tying the laces of his trainers by magic (the resultant,tried
