,location,name,span,verb
5330,18044,Harry,"Harry whiled away the hours until dawn in front of the fire, getting up every now and then to stop Crookshanks from sneaking up",whiled
5331,18046,Harry,At long last Harry thought it must be time for breakfast,thought
5332,18048,Cadogan,yelled Sir Cadogan.,yelled
5333,18049,Harry,"""Oh, shut up,"" Harry yawned.",yawned
5334,18052,Alicia,"""Stop worrying, Oliver,"" said Alicia soothingly, ""we don't mind a bit of rain.""",said
5335,18055,Harry,"just before he entered the locker room, Harry saw Malfoy, Crabbe, and Goyle, laughing and pointing at him from under an enormous umbrella on their way to the stadium.",saw
5336,18062,Hufflepuffs,"The Hufflepuffs were approaching from the opposite side of the field, wearing canary-yellow robes.",approaching
5337,18063,Diggory,"The Captains walked up to eacb other and shook hands; Diggory smiled at Wood but Wood no, looked as though he had lockjaw and merely nodded.",smiled
5338,18064,Harry,Harry saw Madam Hooch's mouth form the words,saw
5339,18065,Hooch,Madam Hooch put her whistle to her lips and gave it a blast that sounded shrill and distant they were off,put
5340,18072,Harry,Twice Harry came very close to being unseated by a Bludger,came
5341,18076,Harry,"Twice Harry nearly hit another player, without knowing whether it was a teammate or opponent",hit
5342,18077,Harry,"With the first flash of lightning came the sound of Madam Hooch's whistle; Harry could just see the outline of Wood through the thick rain, gesturing him to the ground.",see
5343,18082,Harry,They huddled at the edge of the field under a large umbrella; Harry took off his glasses and wiped them hurriedly on his robes.,took
5344,18084,Wood,"""We're fifty points up,"" said Wood, ""but unless we get the Snitch soon, we'll be playing into the night.""",said
5345,18085,Harry,"""I've got no chance with these on,"" Harry said exasperatedly, waving his glasses.",said
5346,18086,Hermione,"At that very moment, Hermione appeared at his shoulder",appeared
5347,18089,Hermione,"as the team watched in amazement, Hermione tapped them with her wand and said, ""Impervius!""",tapped
5348,18098,Harry,"Harry was still numb with cold, still wetter than he'd ever been in his life, but he could see.",was
5349,18102,Harry,Harry needed to get the Snitch quickly -,needed
5350,18103,Harry,Harry saw something that distracted him completely,saw
5351,18110,Harry,Harry looked wildly around.,looked
5352,18111,Diggory,"Cedric Diggory was pelting up the field, and a tiny speck of gold was shimmering in the rain-filled air between them -",pelting
5353,18112,Harry,"With a jolt of panic, Harry threw himself flat to the broornhandle and zoomed toward the Snitch.",threw
5354,18119,Harry,as though Harry had gone suddenly deaf,gone
5355,18121,Harry,"Before he'd had time to think, Harry had taken his eyes off the Snitch and looked down.",taken
5356,18135,Harry,Harry knew no more.,knew
5357,18139,Harry,"Harry could hear the voices whispering, but they made no sense whatsoever.",hear
5358,18147,Ron,"Ron and Hermione were also there, looking as though they'd just climbed out of a swimming pool.",were
5359,18149,Fred,"said Fred, who looked extremely white underneath, the mud.",said
5360,18155,Fred,"""You fell off,"" said Fred.",said
5361,18157,Alicia,"""We thought you'd died,"" said Alicia, who was shaking.",said
5362,18158,Hermione,"Hermione made a small, squeaky noise.",made
5363,18160,Harry,"""But the match,"" said Harry.",said
5364,18173,Harry,"said Harry, suddenly realizing he wasn't there.",said
5365,18174,Fred,"""Still in the showers,"" said Fred.",said
5366,18176,Harry,"Harry put his face to his knees, his hands gripping his hair.",put
5367,18177,Fred,Fred grabbed his shoulder and shook it roughly.,grabbed
5368,18179,George,"""There had to be one time you didn't get it,"" said George.",said
5369,18180,Fred,"""It's not over yet,"" said Fred.",said
5370,18184,George,"""Hufflepuff'll have to lose by at least two hundred points,"" said George.",said
5371,18189,Harry,"Harry lay there, not saying a word.",lay
5372,18191,Pomfrey,"After ten minutes or so, Madam Pomfrey came over to tell the team to leave him in peace.",came
5373,18192,Fred,"""We'll come and see you later,"" Fred told him.",told
5374,18195,Pomfrey,"Madam Pomfrey shut the door behind them, looking disapproving.",shut
5375,18196,Ron,Ron and Hermione moved nearer to Harry's bed.,moved
5376,18205,Ron,"""Then he magicked you onto a stretcher,"" said Ron.",said
5377,18208,Harry,Harry hardly noticed.,noticed
5378,18212,Ron,Ron and Hermione looked quickly at each other.,looked
5379,18215,Harry,"said Harry, looking from one to the other.",said
5380,18216,Hermione,"""Well... when you fell off, it got blown away,"" said Hermione hesitantly.",said
5381,18220,Willow,The Whomping Willow was a very violent tree that stood alone in the middle of the grounds.,was
5382,18223,Ron,"""Well, you know the Whomping Willow,"" said Ron.",said
5383,18229,Pomfrey,Madam Pomfrey insisted on keeping Harry in the hospital wing for the rest of the weekend.,insisted
5384,18231,Harry,Harry couldn't help it,help
5385,18242,Harry,Harry felt sick and humiliated every time he thought of them.,felt
5386,18245,Harry,Because Harry knew who that screaming voice belonged to now.,knew
5387,18247,Harry,"Harry dozed fitfully, sinking into dreams full of clammy, rotted hands and petrified pleading, jerking awake to dwell again on his mother's voice.",dozed
5388,18254,Hermione,Hermione peered around the classroom door.,peered
5389,18256,Lupin,Professor Lupin was back at work.,was
5390,18257,Lupin,while Lupin had been ill,been
5391,18261,Lupin,"Lupin asked, frowning slightly.",asked
5392,18265,Lupin,Professor Lupin smiled at the look of indignation on every face.,smiled
5393,18269,Hermione,"""Oh no,"" said Hermione, looking very disappointed.",said
5394,18272,Lupin,"Professor Lupin had brought along a glass box containing a hinkypunk, a little one-legged creature who looked as though he were made of wisps of smoke, rather frail and harmless looking.",brought
5395,18273,Lupin,"""Lures travelers into bogs,"" said Professor Lupin as they took notes.",said
5396,18278,Lupin,"""Wait a moment, Harry,"" Lupin called.",called
5397,18281,Lupin,"""I heard about the match,"" said Lupin, turning back to his desk and starting to pile books into his briefcase, ""and I'm sorry about your broomstick.",said
5398,18283,Harry,"""No,"" said Harry.",said
5399,18285,Lupin,Lupin sighed.,sighed
5400,18291,Harry,said Harry with difficulty.,said
5401,18292,Lupin,Lupin looked at him quickly.,looked
5402,18297,Harry,"""Yes,"" said Harry.",said
5403,18302,Lupin,"""It has nothing to do with weakness,"" said Professor Lupin sharply, as though he had read Harry's mind.",said
5404,18313,Harry,"""When they get near me --"" Harry stared at Lupin's desk, his throat tight.",stared
5405,18314,Voldemort,Voldemort murdering my mum,murdering
5406,18315,Lupin,"Lupin made a sudden motion with his arm as though to grip Harry's shoulder, but thought better of it.",made
5407,18318,Harry,said Harry bitterly.,said
5408,18319,Lupin,"""They're getting hungry,"" said Lupin coolly, shutting his briefcase with a snap.",said
5409,18320,Dumbledore,Dumbledore won't let them into the school,let
5410,18323,Harry,"""Azkaban must be terrible,"" Harry muttered.",muttered
5411,18324,Lupin,Lupin nodded grimly.,nodded
5412,18327,Harry,"""But Sirius Black escaped from them,"" Harry said slowly.",said
5413,18332,Harry,"""You made that dementor on the train back off,"" said Harry suddenly.",said
5414,18333,Lupin,"""There are -- certain defenses one can use,"" said Lupin.",said
5415,18337,Harry,said Harry at once.,said
5416,18341,Lupin,"Lupin looked into Harry's determined face, hesitated, then said, ""Well... all right.",looked
5417,18349,Harry,Harry saw no hint of a dementor within the grounds.,saw
5418,18353,Flitwick,"Professor Flitwick, the Charms teacher, had already decorated his classroom with shimmering lights that turned out to be real, fluttering fairies.",decorated
5419,18358,Hermione,said Hermione.,said
5420,18360,Harry,"Resigned to the fact that he would be the only third year staying behind again, Harry borrowed a copy of Which Broomstick from Wood, and decided to spend the day reading up on the different makes.",borrowed
5421,18362,Harry,"On the Saturday morning of the Hogsmeade trip, Harry bid good-bye to Ron and Hermione, who were wrapped in cloaks and scarves, then turned up the marble staircase alone, and headed back toward Gryffindor Tower.",bid
5422,18365,Fred,"Fred and George peering out at him from behind a statue of a humpbacked, one-eyed witch",peering
5423,18367,Harry,said Harry curiously.,said
5424,18369,Fred,"""We've come to give you a bit of festive cheer before we go,"" said Fred, with a mysterious wink.",said
5425,18372,Harry,Harry followed Fred and George inside.,followed
5426,18373,George,"George closed the door quietly and then turned, beaming, to look at Harry.",closed
5427,18375,Fred,Fred pulled something from inside his cloak with a flourish and laid it on one of the desks.,pulled
5428,18377,Harry,"Harry, suspecting one of Fred and George's jokes, stared at it.",stared
5429,18379,George,"""This, Harry, is the secret of our success,"" said George, patting the parchment fondly.",said
5430,18380,Fred,"""It's a wrench, giving it to you,"" said Fred, ""but we decided last night, your need's greater than ours.""",said
5431,18381,George,"""Anyway, we know it by heart,"" said George.",said
5432,18385,Harry,said Harry.,said
5433,18390,Harry,Harry snorted.,snorted
5434,18391,Fred,whether Fred and George had ever been innocent,been
5435,18395,Harry,"""Don't tell me --"" said Harry, starting to grin.",said
5436,18397,Fred,said Fred.,said
5437,18398,George,George caused a diversion by dropping another Dungbomb,caused
5438,18399,George,"""It's not as bad as it sounds, you know,"" said George.",said
5439,18400,Filch,Filch ever found out how to work it,found
5440,18403,Fred,"""Oh yes,"" said Fred, smirking.",said
5441,18405,Harry,"""You're winding me up,"" said Harry, looking at the ragged old bit of parchment.",said
5442,18407,George,said George.,said
5443,18415,Harry,"Astounded, Harry bent over it.",bent
5444,18420,Fred,"""Right into Hogsmeade,"" said Fred, tracing one of them with his finger.",said
5445,18422,Filch,"Now, Filch knows about these four""",knows
5446,18425,Willow,because the Whomping Willow's planted right over the entrance,planted
5447,18429,Padfoot,"""Moony, Wormtaill Padfoot, and Prongs,"" sighed George, patting the heading of the map.",sighed
5448,18431,Fred,"""Noble men, working tirelessly to help a new generation of lawbreakers,"" said Fred solemnly.",said
5449,18432,George,"""Right,"" said George briskly.",said
5450,18433,Fred,"""Don't forget to wipe it after you've used it or anyone can read it,"" Fred said warningly.",said
5451,18436,Fred,"""So, young Harry,"" said Fred, in an uncanny impersonation of Percy, """,said
5452,18437,George,"""See you in Honeydukes,"" said George, winking.",said
5453,18439,Harry,"Harry stood there, gazing at the miraculous map.",stood
5454,18440,Norris,Mrs. Norris turn,turn
5455,18441,Filch,If Filch really didn't know,know
5456,18445,Harry,Harry traced the secret passage to Honeydukes with his finger.,traced
5457,18452,Harry,"exactly where the real Harry was standing, about halfway down the third-floor corridor",standing
5458,18453,Harry,Harry watched carefully.,watched
5459,18455,Harry,Harry quickly took out his real wand and tapped the statue.,took
5460,18461,Harry,"Harry whispered, tapping the stone witch again.",whispered
5461,18463,Harry,"Harry glanced quickly up and down the corridor, then tucked the map away again, hoisted himself into the hole headfirst, and pushed himself forward.",glanced
5462,18474,Harry,"Harry hurried along it, stumbling now and then on the uneven floor, holding his wand out in front of him.",hurried
5463,18475,Harry,Harry had the thought of Honeydukes to sustain him.,had
5464,18477,Harry,"Panting, Harry sped up, his face hot, his feet very cold.",sped
5465,18479,Harry,"Careful not to make any noise, Harry began to climb.",began
5466,18482,Harry,"Harry stood there, massaging the top of his head, listening.",stood
5467,18486,Harry,Harry climbed out of the trapdoor and replaced it,climbed
5468,18487,Harry,Harry crept slowly toward the wooden staircase that led upstairs.,crept
5469,18492,Harry,Harry leapt behind an enormous crate and waited for the footsteps to pass.,leapt
5470,18495,Harry,"Quickly and silently, Harry dodged out from his hiding place and climbed the stairs; looking back",dodged
5471,18496,Harry,"Harry reached the door at the top of the stairs, slipped through it, and found himself behind the counter of Honeydukes",reached
5472,18497,Honeydukes,Honeydukes was so crowded with Hogwarts students that no one looked twice at Harry.,was
5473,18498,Harry,where Harry was now,was
5474,18500,Ron,that Ron had mentioned,mentioned
5475,18504,Harry,Harry squeezed himself through a crowd of sixth years and saw a sign hanging in the farthest corner of the shop (UNUSUAL TASTES).,squeezed
5476,18505,Ron,"Ron and Hermione were standing underneath it, examining a tray of blood-flavored lollipops.",standing
5477,18506,Harry,Harry sneaked up behind them.,sneaked
5478,18509,Ron,"said Ron, shoving a jar of Cockroach Clusters under Hermione's nose.",said
5479,18510,Harry,"""Definitely not,"" said Harry.",said
5480,18511,Ron,Ron nearly dropped the jar.,dropped
5481,18517,Ron,"said Ron, looking very impressed, ""you've learned to Apparate!""",said
5482,18518,Harry,"""'Course I haven't,"" said Harry.",said
5483,18520,Fred,"""How come Fred and George never gave it to me!""",gave
5484,18521,Ron,"said Ron, outraged.",said
5485,18523,Harry,"""But Harry isn't going to keep it!""",going
5486,18524,Hermione,"said Hermione, as though the idea were ludicrous.",said
5487,18527,Harry,said Harry.,said
5488,18529,Ron,"said Ron, goggling at Hermione.",said
5489,18534,Hermione,Hermione hissed.,hissed
5490,18537,Harry,"""He can't be getting in through a passage,"" said Harry quickly.",said
5491,18543,Harry,Harry hesistated.,hesistated
5492,18545,Ron,"Ron, however, cleared his throat significantly, and pointed to a notice pasted on the inside of the sweetshop door.",cleared
5493,18552,Ron,said Ron quietly.,said
5494,18556,Hermoine,"--"" Hermoine seemed to be struggling to find another problem.",seemed
5495,18557,Harry,"""Look, Harry still shouldn't be coming into Hogsmeade.",coming
5496,18562,Ron,"""He'd have a job spotting Harry in this,"" said Ron, nodding through the mullioned windows at the thick, swirling snow.",said
5497,18564,Harry,"Harry deserves a break.""",deserves
5498,18565,Hermione,"Hermione bit her lip, looking extremely worried.",bit
5499,18567,Harry,"Harry asked her, grinning.",asked
5500,18570,Ron,"said Ron, grabbing him and leading him over to their barrel.",said
5501,18573,Fred,Fred gave me one of those when I was seven,gave
5502,18574,Mum,Mum walloping him with her broomstick,walloping
5503,18575,Ron,Ron stared broodingly into the Acid Pop box.,stared
5504,18577,Ron,When Ron and Hermione had paid for all their sweets,paid
5505,18579,Harry,Harry shivered,shivered
5506,18580,Ron,"They headed up the street, heads bowed against the wind, Ron and Hermione shouting through their scarves.",shouting
5507,18582,Zonko,"""Zonko's is up there --""",is
5508,18584,Ron,"""Tell you what,"" said Ron, his teeth chattering, """,said
5509,18585,Harry,Harry was more than willing,was
5510,18588,Ron,"""That's Madam Rosmerta,"" said Ron.",said
5511,18591,Harry,"Harry and Hermione made their way to the back of the room, ,,her, there was a small, vacant table between the window and a handsome Christmas tree, which stood next to the fireplace.",made
5512,18592,Ron,"Ron came back five minutes later, carrying three foaming tankards of hot butterbeer.",came
5513,18595,Harry,Harry drank deeply.,drank
5514,18599,Harry,Harry looked over the rim of his tankard and choked.,looked
5515,18600,McGonagall,"Professors McGonagall and Flitwick had just entered the pub with a flurry of snowflakes, shortly followed by Hagrid, who was deep in conversation with a portly man in a lime-green bowler hat and a pinstriped cloak -- Cornelius Fudge, Minister of Magic.",entered
5516,18601,Ron,"In an instant, Ron and Hermione had both placed hands on the top of Harry's head and forced him off his stool and under the table.",placed
5517,18602,Harry,"Dripping with butterbeer and crouching out of sight, Harry clutched his empty tankard and watched the teachers' and Fudge's feet move toward the bar, pause, then turn and walk right toward him.",clutched
5518,18603,Hermione,"Somewhere above him, Hermione whispered, Mobiliarbus!""",whispered
5519,18605,Harry,"Staring through the dense lower branches, Harry saw four sets of chair legs move back from the table right beside theirs, then heard the grunts and sighs If the teachers and minister as they sat down.",saw
5520,18610,Hagrid,"""Ta, Rosmerta,"" said Hagrid.",said
5521,18613,Flitwick,"said Professor Flitwick, smacking his lips.",said
5522,18620,Harry,Harry watched the glittering heels march away and back again.,watched
5523,18626,Harry,Harry saw the lower part of Fudge's thick body twist in his chair as though he were checking for eavesdroppers.,saw
5524,18629,Rosmerta,"I did hear a rumor,"" admitted Madam Rosmerta.",admitted
5525,18631,McGonagall,said Professor McGonagall exasperatedly.,said
5526,18633,Rosmerta,whispered Madam Rosmerta.,whispered
5527,18636,Rosmerta,"said Madam Rosmerta, a slight edge to her voice.",said
5528,18643,McGonagall,"""I should think not,"" said Professor McGonagall sharply.",said
5529,18648,Rosmerta,"""Do you know, I still have trouble believing it,"" said Madam Rosmerta thoughtfully.",said
5530,18652,Fudge,"""You don't know the half of it, Rosmerta,"" said Fudge gruffly.",said
5531,18655,Rosmerta,"said Madam Rosmerta, her voice alive with curiosity, ""Worse than murdering all those poor people, you mean?""",said
5532,18661,Rosmerta,"""Naturally,"" said Madam Rosmerta, with a small laugh.",said
5533,18665,Harry,Harry dropped his tankard with a loud clunk.,dropped
5534,18666,Ron,Ron kicked him.,kicked
5535,18667,McGonagall,"""Precisely,"" said Professor McGonagall.",said
5536,18671,Hagrid,"""I dunno,"" chuckled Hagrid.",chuckled
5537,18672,Fred,"""Fred and George Weasley could give 'em a run fer their money.""",give
5538,18679,James,when James married Lily,married
5539,18681,Harry,"Harry has no idea, of course.",has
5540,18684,Rosmerta,whispered Madam Rosmerta.,whispered
5541,18691,Dumbledore,"Dumbledore told them that their best chance was the Fidelius Charm.""",told
5542,18694,Flitwick,Professor Flitwick cleared his throat.,cleared
5543,18697,Lily,where Lily and James were staying for years and never find them,staying
5544,18699,Rosmerta,whispered Madam Rosmerta.,whispered
5545,18700,McGonagall,"""Naturally,"" said Professor McGonagall.",said
5546,18704,Rosmerta,gasped Madam Rosmerta.,gasped
5547,18705,McGonagall,"""He was sure that somebody close to the Potters had been keeping You-Know-Who informed of their movements,"" said Professor McGonagall darkly.",said
5548,18707,Potter,"""But James Potter insisted on using Black?""",insisted
5549,18710,Rosmerta,breathed Madam Rosmerta.,breathed
5550,18721,McGonagall,said Professor McGonagall.,said
5551,18733,Hagrid,Hagrid roared.,roared
5552,18735,McGonagall,said Professor McGonagall.,said
5553,18740,Dumbledore,"But I'd had me orders from Dumbledore, an' I told Black no, Dumbledore said Harry was ter go ter his aunt an' uncle's.",said
5554,18748,Dumbledore,Dumbledore knew he'd bin the Potters' Secret-Keeper.,knew
5555,18755,Rosmerta,"Then Madam Rosmerta said with some satisfaction, ""But he didn't manage to disappear, did he?",said
5556,18762,Rosmerta,said Madam Rosmerta.,said
5557,18763,McGonagall,"""Hero-worshipped Black and Potter,"" said Professor McGonagall.",said
5558,18767,Pettigrew,"""There, now, Minerva,"" said Fudge kindly, ""Pettigrew died a hero's death.",died
5559,18768,Pettigrew,how Pettigrew cornered Black,cornered
5560,18774,McGonagall,"Professor McGonagall blew her nose and said thickly, ""Stupid boy ... foolish boy... he was always hopeless at dueling... should have left it to the Ministry....""",blew
5561,18787,Fudge,"""Well, there you have it, Rosmerta,"" said Fudge thickly.",said
5562,18790,Rosmerta,Madam Rosmerta let out a long sigh.,let
5563,18803,Rosmerta,said Madam Rosmerta.,said
5564,18810,McGonagall,"""You know, Cornelius, if you're dining with the headmaster, he'd better head back up to the castle,"" said Professor McGonagall.",said
5565,18814,Ron,Ron's and Hermione's faces appeared under the table.,appeared
5566,18818,Harry,"Harry didn't have a very clear idea of how he had managed to get back into the Honeydukes cellar, through the tunnel, and into the castle once more.",have
5567,18821,Dumbledore,"Dumbledore, Hagrid, Mr. Weasley, Cornelius Fudge... why hadn't anyone ever mentioned the fact that Harry's parents had died because their best friend had betrayed them?",mentioned
5568,18823,Fred,Fred and George had set off half a dozen Dungbombs in a fit of end- of-term high spirits,set
5569,18824,Fred,"Fred and George asking him whether he'd reached Hogsmeade or not, sneaked quietly up to the empty dormitory and headed straight for his bedside cabinet",asking
5570,18825,Hagrid,"He pushed his books aside and quickly found what he was looking for -- the leather-bound photo album Hagrid had given him two years ago, which was full of wizard pictures of his mother and father.",given
5571,18831,Harry,Harry had never given him a thought before.,given
5572,18837,Harry,"But the dementors don't affect him, Harry thought, staring into the handsome, laughing face.",thought
5573,18839,Harry,"Harry slammed the album shut, reached over and stuffed it back into his cabinet, took off his robe and glasses and got into bed, making sure the hangings were hiding him from view.",slammed
5574,18843,Harry,"But Harry still, pretending to be asleep.",pretending
5575,18844,Ron,Ron leave again,leave
5576,18851,Harry,Harry hadn't gotten to sleep until daybreak.,gotten
5577,18854,Harry,said Harry.,said
5578,18857,Ron,"said Ron, watching Harry closely.",said
5579,18859,Harry,Harry slumped into a chair next to the fire.,slumped
5580,18862,Hermione,"""You really don' look well, you know,"" Hermione said, peering anxiously into his face.",said
5581,18863,Harry,"""I'm fine,"" said Harry.",said
5582,18864,Hermione,"""Harry, listen,"" said Hermione, exchanging a look with Ron",said
5583,18867,Harry,said Harry.,said
5584,18868,Ron,"""Like trying to go after Black,"" said Ron sharply.",said
5585,18869,Harry,Harry could tell they had rehearsed this conversation while he had been asleep.,tell
5586,18872,Hermione,said Hermione.,said
5587,18873,Ron,"""Because Black's not worth dying for,"" said Ron.",said
5588,18874,Harry,Harry looked at them.,looked
5589,18877,Ron,"Ron and Hermione shook their heads, looking apprehensive.",shook
5590,18882,Hermione,"said Hermione, looking stricken.",said
5591,18888,Ron,"said Ron, looking very tense.",said
5592,18890,Herinione,"""Don't be silly,"" said Herinione in a panicky voice.",said
5593,18891,Harry,Harry doesn't want to kill anyone,want
5594,18892,Harry,"Again, Harry didn't answer.",answer
5595,18900,Ron,said Ron furiously.,said
5596,18902,Dad,"Dad told me -- the Order of Merlin, First Class, and Pettigrew's finger in a box.",told
5597,18905,Harry,"""Malfoy's dad must have told him,"" said Harry, ignoring Ron.",said
5598,18913,Hermione,"""Harry, please,"" said Hermione, her eyes now shining with tears, ""Please be sensible.",said
5599,18917,Harry,"""I'll never know what they'd have wanted, because thanks to Black, I've never spoken to them,"" said Harry shortly.",said
5600,18918,Crookshanks,in which Crookshanks stretched luxuriously flexing his claws,stretched
5601,18920,Ron,"""Look,"" said Ron, obviously casting around for a change of subject",said
5602,18925,Hermione,said Hermione quickly.,said
5603,18927,Harry,"""Yeah, let's go,"" said Harry, sitting up, ""and I can ask him how come he never mentioned Black when he told me all about my parents!""",said
5604,18928,Ron,what Ron had had in mind,had
5605,18930,Percy,"Percy left a set --""",left
5606,18931,Harry,"""No, let's visit Hagrid,"" said Harry firmly.",said
5607,18936,Ron,"Ron knocked, but there was no answer.",knocked
5608,18938,Hermione,"said Hermione, who was shivering under her cloak.",said
5609,18939,Ron,Ron had his ear to the door.,had
5610,18942,Harry,Harry and Hermione put their ears to the door too.,put
5611,18945,Ron,said Ron nervously.,said
5612,18950,Hagrid,"Hagrid stood there with his eyes red and swollen, tears splashing down the front of his leather vest.",stood
5613,18951,YWve,"""YWve heard?""",heard
5614,18953,Hagrid,Hagrid being at least twice the size of a normal man,being
5615,18955,Hagrid,"Hagrid allowed himself to be steered into a chair and slumped over the table, sobbing uncontrollably, his face glazed with tears that dripped down into his tangled beard.",allowed
5616,18957,Hermione,"said Hermione, aghast.",said
5617,18958,Harry,Harry spotted an official-looking letter lying open on the table.,spotted
5618,18964,Ron,"said Ron, clapping Hagrid oil the shoulder.",said
5619,18965,Hagrid,"But Hagrid continued to sob, and waved one of his gigantic hands, inviting Harry to read on.",continued
5620,18972,Ron,"""Oh,"" said Ron.",said
5621,18973,Buckbeak,"Buckbeak isn't a bad hippogriff, Hagrid",is
5622,18975,Yeh,"""Yeh don' know them gargoyles at the Committee fer the Disposal o' Dangerous Creatures!""",know
5623,18978,Harry,"Harry, Ron, and Hermione whip around",whip
5624,18988,Hermione,"""You'll have to put up a good strong defense, Hagrid,"" said Hermione, sitting down and laying a hand on Hagrid's massive forearm.",said
5625,18989,Buckbeak,Buckbeak is safe,is
5626,18995,Hagrid,"Hagrid drew his finger swiftly across his throat, then gave a great wail and lurched forward, his face in his arms.",drew
5627,18997,Harry,said Harry.,said
5628,19000,Ron,"Ron and Hermione looked quickly at Harry, as though expecting him to start berating Hagrid for not telling him the truth about Black.",looked
5629,19001,Harry,"But Harry couldn't bring himself to do it, not now that he saw Hagrid so miserable and scared.",bring
5630,19005,Hermione,"""I'm sure I've read about a case of hippogriff-baiting,"" said Hermione thoughtfully, ""where the hippogriff got off I'll look it up for you, Hagrid, and see exactly what happened.""",said
5631,19006,Hagrid,Hagrid howled still more loudly.,howled
5632,19007,Harry,Harry and Hermione looked at Ron to help them.,looked
5633,19009,Ron,said Ron.,said
5634,19010,Harry,Harry stared at him.,stared
5635,19011,Ron,"""It's what my mum does whenever someone's upset,"" Ron muttered, shrugging.",muttered
5636,19012,Hagrid,"At last, after many more assurances of help, with a steaming mug of tea in front of him, Hagrid blew his nose on a handkerchief the size of a tablecloth and said, ""Yer right.",blew
5637,19016,Hagrid,"""I've not bin meself lately,"" said Hagrid, stroking Fang with one hand and mopping his face with the other.",said
5638,19021,Ron,"said Ron, crossing his fingers under the table.",said
5639,19023,Hagrid,"""Dead,"" said Hagrid gloomily.",said
5640,19026,Ron,"said Ron, his lip twitching.",said
5641,19027,Hagrid,"""An' them dementors make me feel ruddy terrible an' all,"" said Hagrid, with a sudden shudder.",said
5642,19034,Hagrid,"""Yeh've no idea,"" said Hagrid quietly.",said
5643,19037,Norbert,Norbert go,go
5644,19040,Yeh,"""Yeh can' really remember who yeh are after a while.",remember
5645,19046,Hermione,said Hermione.,said
5646,19047,Hagrid,Hagrid snorted.,snorted
5647,19051,Hagrid,"Hagrid went quiet for a moment, staring into his tea.",went
5648,19055,Ron,Ron and Hermione had hoped,hoped
5649,19063,Scabbers,that even Scabbers poked his nose out of the shelter of Ron's pocket to sniff hopefully at the air,poked
5650,19064,Ron,Ron throwing his pillow at him,throwing
5651,19067,Harry,"Harry reached for his glasses and put them on, squinting through the semi-darkness to the foot of his bed, where a small heap of parcels had appeared.",reached
5652,19068,Ron,Ron was already ripping the paper off his own presents.,ripping
5653,19070,Harry,Harry had.,had
5654,19071,Weasley,"Mrs. Weasley had sent him a scarlet sweater with the Gryffindor lion knitted on the front, also a dozen home-baked mince pies, some Christmas cake, and a box of nut brittle.",sent
5655,19074,Ron,"said Ron, looking over, a freshly unwrapped pair of maroon socks in his hand.",said
5656,19076,Harry,"Harry ripped the parcel open and gasped as a magnificent, gleaming broomstick rolled out onto his bedspread.",ripped
5657,19077,Ron,Ron dropped his socks and jumped off his bed for a closer look.,dropped
5658,19079,Harry,broom Harry had gone to see every day in Diagon Alley,gone
5659,19084,Ron,said Ron in a hushed voice.,said
5660,19085,Harry,"""Look and see if there's a card,"" said Harry.",said
5661,19086,Ron,Ron ripped apart the Firebolt's wrappings.,ripped
5662,19089,Harry,"""Well,"" said Harry",said
5663,19090,Ron,"I bet it was Dumbledore,"" said Ron, now walking around and around the Firebolt, taking in every glorious inch.",said
5664,19092,Harry,"""That was my dad's, though,"" said Harry.",said
5665,19093,Dumbledore,"""Dumbledore was just Passing it on to me.",passing
5666,19097,Ron,said Ron.,said
5667,19099,Ron,"Hey, Harry"" -- Ron gave a great whoop of laughter -- ""Malfoy!",gave
5668,19105,Ron,"""I know,"" said Ron, controlling himself, ""I know who it could've been -- Lupin!""",said
5669,19107,Harry,"said Harry, now starting to laugh himself ""Lupin?",said
5670,19109,Ron,"""Yeah, but he likes you,"" said Ron.",said
5671,19112,Harry,said Harry.,said
5672,19114,Ron,"""Well, he wasn't in the hospital wing,"" said Ron.",said
5673,19116,Harry,Harry frowned at Ron.,frowned
5674,19117,Lupin,Lupin affording something like this,affording
5675,19119,Hermione,"Hermione had just come in, wearing her dressing gown and carrying Crookshanks, who was looking very grumpy, with a string of tinsel tied around his neck.",come
5676,19121,Ron,"said Ron, hurriedly snatching Scabbers from the depths of his bed and stowing him in his pajama pocket.",said
5677,19122,Hermione,But Hermione wasn't listening.,listening
5678,19126,Harry,"""No idea,"" said Harry.",said
5679,19128,Hermione,"To his great surprise, Hermione did not appear either excited or intrigued by the news.",appear
5680,19131,Ron,said Ron.,said
5681,19132,Hermione,"""I don't know,"" said Hermione slowly, ""but it's a bit odd, isn't it?",said
5682,19134,Ron,Ron sighed exasperatedly.,sighed
5683,19137,Ron,"""Probably cost more than all the Slytherins' brooms put together,"" said Ron happily.",said
5684,19139,Hermione,said Hermione.,said
5685,19141,Ron,said Ron impatiently.,said
5686,19145,Hermione,said Hermione shrilly.,said
5687,19146,Harry,Harry and Ron looked at her.,looked
5688,19147,Harry,Harry's going to do with it,going
5689,19148,Ron,said Ron.,said
5690,19157,Harry,"Harry said, bending down and picking up the Sneakoscope.",said
5691,19160,Crookshanks,Crookshanks was hissing and spitting at it.,hissing
5692,19163,Hermione,as Hermione strode out of the room,strode
5693,19164,Harry,Harry stuffed the Sneakoscope back inside the socks and threw it back into his trunk.,stuffed
5694,19169,Harry,Harry said.,said
5695,19171,Ron,said Ron.,said
5696,19173,Scabbers,unless Scabbers had powers he had never revealed,had
